stage_id,candidate_id,semantic_sign_id,source_title,commons_page_url,source_file_url,thumbnail_url,license_short_name,license_url,artist,credit,source_family,source_modality,mapping_confidence,counts_for_realistic_photo_coverage,evidence_label,local_original_path,local_raster_path,download_status,review_status,notes
stage_c_china_reference_sources_01,CHREF01-001,bicycle_crossing,File:CN road sign 警 13.svg,https://commons.wikimedia.org/wiki/File:CN_road_sign_%E8%AD%A6_13.svg,https://upload.wikimedia.org/wikipedia/commons/a/af/CN_road_sign_%E8%AD%A6_13.svg,https://upload.wikimedia.org/wikipedia/commons/thumb/a/af/CN_road_sign_%E8%AD%A6_13.svg/960px-CN_road_sign_%E8%AD%A6_13.svg.png,Public domain,,Standardization Administration of the People's Republic of China,GB 5768–1999 (警 37)  GB 5768.2–2009 (警 32)  GB 5768.2–2022 (警 13),wikimedia_commons_china_gb_road_sign_svg,official_style_reference_diagram,high,no_reference_only,Road signs in China gallery: Cyclists,data/raw/online_sources/stage_c_china_reference_01/wikimedia_commons/bicycle_crossing/original/CN_road_sign_13.svg,data/raw/online_sources/stage_c_china_reference_01/wikimedia_commons/bicycle_crossing/raster/CN_road_sign_13.png,downloaded_reference_candidate,pending_stage_d_visual_qc,Exact China warning-sign reference for cyclists/bicycle crossing style.
stage_c_china_reference_sources_01,CHREF01-002,motor_vehicles_only,File:China road sign 示 30.svg,https://commons.wikimedia.org/wiki/File:China_road_sign_%E7%A4%BA_30.svg,https://upload.wikimedia.org/wikipedia/commons/1/1c/China_road_sign_%E7%A4%BA_30.svg,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1c/China_road_sign_%E7%A4%BA_30.svg/960px-China_road_sign_%E7%A4%BA_30.svg.png,Public domain,,Beijing Traffic Management Bureau,PDF document  GIF diagrams,wikimedia_commons_china_gb_road_sign_svg,official_style_reference_diagram,medium_possible_style_difference,no_reference_only,Road signs in China gallery: Lane for automobiles,data/raw/online_sources/stage_c_china_reference_01/wikimedia_commons/motor_vehicles_only/original/China_road_sign_30.svg,data/raw/online_sources/stage_c_china_reference_01/wikimedia_commons/motor_vehicles_only/raster/China_road_sign_30.png,downloaded_reference_candidate,pending_stage_d_visual_qc,"China indicative automobiles-only lane reference. Useful anchor, but it is rectangular lane-style artwork, so keep separate from a circular motor-vehicles-only interpretation."
stage_c_china_reference_sources_01,CHREF01-003,no_left_or_right_turn,File:China road sign 禁 25.svg,https://commons.wikimedia.org/wiki/File:China_road_sign_%E7%A6%81_25.svg,https://upload.wikimedia.org/wikipedia/commons/5/5d/China_road_sign_%E7%A6%81_25.svg,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5d/China_road_sign_%E7%A6%81_25.svg/960px-China_road_sign_%E7%A6%81_25.svg.png,Public domain,,Beijing Traffic Management Bureau,Own work,wikimedia_commons_china_gb_road_sign_svg,official_style_reference_diagram,high,no_reference_only,Road signs in China gallery: No left and right turns,data/raw/online_sources/stage_c_china_reference_01/wikimedia_commons/no_left_or_right_turn/original/China_road_sign_25.svg,data/raw/online_sources/stage_c_china_reference_01/wikimedia_commons/no_left_or_right_turn/raster/China_road_sign_25.png,downloaded_reference_candidate,pending_stage_d_visual_qc,Exact China prohibitory reference for no left/right turns.
stage_c_china_reference_sources_01,CHREF01-004,no_motor_vehicles,File:CN road sign 禁 6.svg,https://commons.wikimedia.org/wiki/File:CN_road_sign_%E7%A6%81_6.svg,https://upload.wikimedia.org/wikipedia/commons/0/0c/CN_road_sign_%E7%A6%81_6.svg,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0c/CN_road_sign_%E7%A6%81_6.svg/960px-CN_road_sign_%E7%A6%81_6.svg.png,Public domain,,Standardization Administration of the People's Republic of China,GB 5768–1999 (禁 3)  GB 5768.2–2009 (禁 6)  GB 5768.2–2022 (禁 6),wikimedia_commons_china_gb_road_sign_svg,official_style_reference_diagram,high,no_reference_only,Road signs in China gallery: No motor vehicles,data/raw/online_sources/stage_c_china_reference_01/wikimedia_commons/no_motor_vehicles/original/CN_road_sign_6.svg,data/raw/online_sources/stage_c_china_reference_01/wikimedia_commons/no_motor_vehicles/raster/CN_road_sign_6.png,downloaded_reference_candidate,pending_stage_d_visual_qc,Exact China prohibitory reference for no motor vehicles.
stage_c_china_reference_sources_01,CHREF01-005,no_straight_or_left,File:China road sign 禁 26.svg,https://commons.wikimedia.org/wiki/File:China_road_sign_%E7%A6%81_26.svg,https://upload.wikimedia.org/wikipedia/commons/7/79/China_road_sign_%E7%A6%81_26.svg,https://upload.wikimedia.org/wikipedia/commons/thumb/7/79/China_road_sign_%E7%A6%81_26.svg/960px-China_road_sign_%E7%A6%81_26.svg.png,Public domain,,Beijing Traffic Management Bureau,Own work,wikimedia_commons_china_gb_road_sign_svg,official_style_reference_diagram,high,no_reference_only,Road signs in China gallery: Do not proceed straight and no left turns,data/raw/online_sources/stage_c_china_reference_01/wikimedia_commons/no_straight_or_left/original/China_road_sign_26.svg,data/raw/online_sources/stage_c_china_reference_01/wikimedia_commons/no_straight_or_left/raster/China_road_sign_26.png,downloaded_reference_candidate,pending_stage_d_visual_qc,Exact China prohibitory reference for no straight/left.
stage_c_china_reference_sources_01,CHREF01-006,no_straight_or_right,File:China road sign 禁 27.svg,https://commons.wikimedia.org/wiki/File:China_road_sign_%E7%A6%81_27.svg,https://upload.wikimedia.org/wikipedia/commons/f/fe/China_road_sign_%E7%A6%81_27.svg,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fe/China_road_sign_%E7%A6%81_27.svg/960px-China_road_sign_%E7%A6%81_27.svg.png,Public domain,,Beijing Traffic Management Bureau,Own work,wikimedia_commons_china_gb_road_sign_svg,official_style_reference_diagram,high,no_reference_only,Road signs in China gallery: Do not proceed straight and no right turns,data/raw/online_sources/stage_c_china_reference_01/wikimedia_commons/no_straight_or_right/original/China_road_sign_27.svg,data/raw/online_sources/stage_c_china_reference_01/wikimedia_commons/no_straight_or_right/raster/China_road_sign_27.png,downloaded_reference_candidate,pending_stage_d_visual_qc,Exact China prohibitory reference for no straight/right.
stage_c_china_reference_sources_01,CHREF01-007,roundabout_mandatory,File:CN road sign 示 9.svg,https://commons.wikimedia.org/wiki/File:CN_road_sign_%E7%A4%BA_9.svg,https://upload.wikimedia.org/wikipedia/commons/9/90/CN_road_sign_%E7%A4%BA_9.svg,https://upload.wikimedia.org/wikipedia/commons/thumb/9/90/CN_road_sign_%E7%A4%BA_9.svg/960px-CN_road_sign_%E7%A4%BA_9.svg.png,Public domain,,Beijing Traffic Management Bureau,PDF document  GIF diagrams,wikimedia_commons_china_gb_road_sign_svg,official_style_reference_diagram,high,no_reference_only,Road signs in China gallery: Roundabout,data/raw/online_sources/stage_c_china_reference_01/wikimedia_commons/roundabout_mandatory/original/CN_road_sign_9.svg,data/raw/online_sources/stage_c_china_reference_01/wikimedia_commons/roundabout_mandatory/raster/CN_road_sign_9.png,downloaded_reference_candidate,pending_stage_d_visual_qc,Exact China blue mandatory/indicative roundabout reference.
stage_c_china_reference_sources_01,CHREF01-008,slow_text,File:China road sign 警 35.svg,https://commons.wikimedia.org/wiki/File:China_road_sign_%E8%AD%A6_35.svg,https://upload.wikimedia.org/wikipedia/commons/2/28/China_road_sign_%E8%AD%A6_35.svg,https://upload.wikimedia.org/wikipedia/commons/thumb/2/28/China_road_sign_%E8%AD%A6_35.svg/960px-China_road_sign_%E8%AD%A6_35.svg.png,Public domain,,Standardization Administration of the People's Republic of China,GB 5768–1999 (警 39)  GB 5768.2–2009 (警 35),wikimedia_commons_china_gb_road_sign_svg,official_style_reference_diagram,high,no_reference_only,Road signs in China gallery: Slow,,data/raw/online_sources/stage_c_china_reference_01/wikimedia_commons/slow_text/raster/China_road_sign_35.png,downloaded_reference_candidate,pending_stage_d_visual_qc,Exact China warning reference with Chinese slow text. Original file download failed; using API thumbnail raster for local review. Original error: HTTPError: 429 Client Error: Too many requests - please contact noc@wikimedia.org to discuss a less disruptive approach or instead use thumbnail images in sizes listed on https://w.wiki/GHai. (0c640b1) for url: https://upload.wikimedia.org/wikipedia/commons/2/28/China_road_sign_%E8%AD%A6_35.svg
stage_c_china_reference_sources_01,CHREF01-009,sound_horn,File:CN road sign 示 12.svg,https://commons.wikimedia.org/wiki/File:CN_road_sign_%E7%A4%BA_12.svg,https://upload.wikimedia.org/wikipedia/commons/f/fc/CN_road_sign_%E7%A4%BA_12.svg,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fc/CN_road_sign_%E7%A4%BA_12.svg/960px-CN_road_sign_%E7%A4%BA_12.svg.png,Public domain,,Beijing Traffic Management Bureau,PDF document  GIF diagrams,wikimedia_commons_china_gb_road_sign_svg,official_style_reference_diagram,high,no_reference_only,Road signs in China gallery: Honking allowed,,data/raw/online_sources/stage_c_china_reference_01/wikimedia_commons/sound_horn/raster/CN_road_sign_12.png,downloaded_reference_candidate,pending_stage_d_visual_qc,Exact China blue honking/sound-horn reference; this is the opposite of no-horn. Original file download failed; using API thumbnail raster for local review. Original error: HTTPError: 429 Client Error: Too many requests - please contact noc@wikimedia.org to discuss a less disruptive approach or instead use thumbnail images in sizes listed on https://w.wiki/GHai. (0c640b1) for url: https://upload.wikimedia.org/wikipedia/commons/f/fc/CN_road_sign_%E7%A4%BA_12.svg
stage_c_china_reference_sources_01,CHREF01-010,steep_descent,File:CN road sign 警 5-2.svg,https://commons.wikimedia.org/wiki/File:CN_road_sign_%E8%AD%A6_5-2.svg,https://upload.wikimedia.org/wikipedia/commons/2/2e/CN_road_sign_%E8%AD%A6_5-2.svg,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2e/CN_road_sign_%E8%AD%A6_5-2.svg/960px-CN_road_sign_%E8%AD%A6_5-2.svg.png,Public domain,,Standardization Administration of the People's Republic of China,GB 5768–1999 (警 12)  GB 5768.2–2009 (警 5b)  GB 5768.2–2022 (警 5-2),wikimedia_commons_china_gb_road_sign_svg,official_style_reference_diagram,high,no_reference_only,Road signs in China gallery: Steep descent,,data/raw/online_sources/stage_c_china_reference_01/wikimedia_commons/steep_descent/raster/CN_road_sign_5-2.png,downloaded_reference_candidate,pending_stage_d_visual_qc,Exact China warning reference for steep descent. Original file download failed; using API thumbnail raster for local review. Original error: HTTPError: 429 Client Error: Too many requests - please contact noc@wikimedia.org to discuss a less disruptive approach or instead use thumbnail images in sizes listed on https://w.wiki/GHai. (0c640b1) for url: https://upload.wikimedia.org/wikipedia/commons/2/2e/CN_road_sign_%E8%AD%A6_5-2.svg
