split,current_label,file,instance_id,source_class_id,filename,width,height,area,tiny_crop
test,animal_crossing,data/processed/emtd_classification/test/animal_crossing/emtd_f97d5b11e515b18d_001.jpg,emtd_f97d5b11e515b18d_001,59,47.jpg,52,48,2496,false
test,camera_enforcement,data/processed/emtd_classification/test/camera_enforcement/emtd_5d2552f3c147808b_002.jpg,emtd_5d2552f3c147808b_002,35,27.jpg,35,31,1085,true
test,camera_enforcement,data/processed/emtd_classification/test/camera_enforcement/emtd_5f7cf79a455c49f0_005.jpg,emtd_5f7cf79a455c49f0_005,35,P1840143.JPG,46,46,2116,false
test,camera_enforcement,data/processed/emtd_classification/test/camera_enforcement/emtd_a46a08ce2a37eddb_001.jpg,emtd_a46a08ce2a37eddb_001,35,P1840101.JPG,173,175,30275,false
test,children_crossing,data/processed/emtd_classification/test/children_crossing/emtd_018e51e9ae23a3ba_002.jpg,emtd_018e51e9ae23a3ba_002,44,Screenshot (267).png,54,49,2646,false
test,children_crossing,data/processed/emtd_classification/test/children_crossing/emtd_5f7cf79a455c49f0_007.jpg,emtd_5f7cf79a455c49f0_007,44,P1840143.JPG,107,107,11449,false
test,children_crossing,data/processed/emtd_classification/test/children_crossing/emtd_72ca33f1c1e1c9c8_002.jpg,emtd_72ca33f1c1e1c9c8_002,44,P1860371.JPG,403,393,158379,false
test,children_crossing,data/processed/emtd_classification/test/children_crossing/emtd_76cd6549c6400fe5_001.jpg,emtd_76cd6549c6400fe5_001,44,P1830994.JPG,96,96,9216,false
test,children_crossing,data/processed/emtd_classification/test/children_crossing/emtd_9c1138b7995fcf5a_004.jpg,emtd_9c1138b7995fcf5a_004,45,P1860049.JPG,291,284,82644,false
test,crossroads,data/processed/emtd_classification/test/crossroads/emtd_4a175710f8d593a0_005.jpg,emtd_4a175710f8d593a0_005,55,P1840200.JPG,361,359,129599,false
test,crossroads,data/processed/emtd_classification/test/crossroads/emtd_6b3bad116f3adbf1_007.jpg,emtd_6b3bad116f3adbf1_007,55,P1840182.JPG,444,431,191364,false
test,crosswind,data/processed/emtd_classification/test/crosswind/emtd_709adf5a41b8c825_001.jpg,emtd_709adf5a41b8c825_001,36,DSC-0330.JPG,146,145,21170,false
test,curve_left,data/processed/emtd_classification/test/curve_left/emtd_63f92938c22973ad_005.jpg,emtd_63f92938c22973ad_005,40,Screenshot (140).png,116,222,25752,false
test,curve_left,data/processed/emtd_classification/test/curve_left/emtd_a099ceb90cfeb69c_002.jpg,emtd_a099ceb90cfeb69c_002,40,P1860068.JPG,200,201,40200,false
test,divided_road_begins,data/processed/emtd_classification/test/divided_road_begins/emtd_085a7bb4a14b599a_001.jpg,emtd_085a7bb4a14b599a_001,62,P1840515.JPG,60,57,3420,false
test,divided_road_begins,data/processed/emtd_classification/test/divided_road_begins/emtd_2ca5d238e28dec52_004.jpg,emtd_2ca5d238e28dec52_004,62,P1840009.JPG,185,183,33855,false
test,divided_road_begins,data/processed/emtd_classification/test/divided_road_begins/emtd_3ed7a222fd38cc5f_004.jpg,emtd_3ed7a222fd38cc5f_004,10,P1840113.JPG,32,33,1056,false
test,divided_road_begins,data/processed/emtd_classification/test/divided_road_begins/emtd_40de39938cbd8ff9_002.jpg,emtd_40de39938cbd8ff9_002,62,Screenshot (76).png,21,21,441,true
test,divided_road_begins,data/processed/emtd_classification/test/divided_road_begins/emtd_4a175710f8d593a0_006.jpg,emtd_4a175710f8d593a0_006,62,P1840200.JPG,103,102,10506,false
test,divided_road_begins,data/processed/emtd_classification/test/divided_road_begins/emtd_69a204a515f07cc4_013.jpg,emtd_69a204a515f07cc4_013,62,P1840116.JPG,446,450,200700,false
test,divided_road_begins,data/processed/emtd_classification/test/divided_road_begins/emtd_6b3bad116f3adbf1_008.jpg,emtd_6b3bad116f3adbf1_008,62,P1840182.JPG,64,56,3584,false
