stage_id,synthetic_id,semantic_sign_id,symbol_family,output_path,generation_status,review_status,transform_summary,sha256,notes
stage_c_sprint_04_compound_mandatory_symbols,S04-001_straight_or_right,straight_or_right,compound_mandatory_direction,data/generated/stage_c_sprint_04_compound_mandatory_symbols/straight_or_right/S04-001_straight_or_right.jpg,generated_candidate,pending_stage_d_visual_qc,"symbol=straight_or_right; size=195; angle=-5.77; blue=(10, 104, 211); brightness=0.90; contrast=1.11; offset=(7,7)",b2a0d2fa7b069ca81582c7ce18dcd15bfb78044d6302631d72ff8ce02be4e99a,Project-owned generated reference-symbol candidate; not real camera coverage.
stage_c_sprint_04_compound_mandatory_symbols,S04-002_straight_or_right,straight_or_right,compound_mandatory_direction,data/generated/stage_c_sprint_04_compound_mandatory_symbols/straight_or_right/S04-002_straight_or_right.jpg,generated_candidate,pending_stage_d_visual_qc,"symbol=straight_or_right; size=200; angle=3.30; blue=(0, 85, 179); brightness=0.97; contrast=1.02; offset=(1,7)",8de1e106b0a2174cd377bd7f29c150bce7695fc117eaed716380035962c2f36c,Project-owned generated reference-symbol candidate; not real camera coverage.
stage_c_sprint_04_compound_mandatory_symbols,S04-003_straight_or_right,straight_or_right,compound_mandatory_direction,data/generated/stage_c_sprint_04_compound_mandatory_symbols/straight_or_right/S04-003_straight_or_right.jpg,generated_candidate,pending_stage_d_visual_qc,"symbol=straight_or_right; size=157; angle=-1.59; blue=(8, 93, 186); brightness=1.07; contrast=1.13; offset=(21,22)",4e8494e2b22dc29ba2c47608a968cf393af873a300daec4cb73c97e5307cab98,Project-owned generated reference-symbol candidate; not real camera coverage.
stage_c_sprint_04_compound_mandatory_symbols,S04-004_straight_or_right,straight_or_right,compound_mandatory_direction,data/generated/stage_c_sprint_04_compound_mandatory_symbols/straight_or_right/S04-004_straight_or_right.jpg,generated_candidate,pending_stage_d_visual_qc,"symbol=straight_or_right; size=199; angle=-0.05; blue=(5, 113, 166); brightness=0.91; contrast=1.06; offset=(18,16)",a24ed1e7f3ca1f92f85a7a4961c096598bd8a7a3424583d113b801285d891de8,Project-owned generated reference-symbol candidate; not real camera coverage.
stage_c_sprint_04_compound_mandatory_symbols,S04-005_straight_or_right,straight_or_right,compound_mandatory_direction,data/generated/stage_c_sprint_04_compound_mandatory_symbols/straight_or_right/S04-005_straight_or_right.jpg,generated_candidate,pending_stage_d_visual_qc,"symbol=straight_or_right; size=188; angle=4.89; blue=(6, 95, 165); brightness=1.07; contrast=1.09; offset=(17,10)",0918b45c6984971ea45743356ef1654cc11fdffedd782f4a3e171ca23b20b9fe,Project-owned generated reference-symbol candidate; not real camera coverage.
stage_c_sprint_04_compound_mandatory_symbols,S04-006_straight_or_right,straight_or_right,compound_mandatory_direction,data/generated/stage_c_sprint_04_compound_mandatory_symbols/straight_or_right/S04-006_straight_or_right.jpg,generated_candidate,pending_stage_d_visual_qc,"symbol=straight_or_right; size=176; angle=0.39; blue=(3, 87, 178); brightness=1.08; contrast=0.91; offset=(31,29)",f012bb8fffe75b5241d357f4e4d5a23722cec440bf5850f91cf81f1aefc5eea6,Project-owned generated reference-symbol candidate; not real camera coverage.
stage_c_sprint_04_compound_mandatory_symbols,S04-007_straight_or_right,straight_or_right,compound_mandatory_direction,data/generated/stage_c_sprint_04_compound_mandatory_symbols/straight_or_right/S04-007_straight_or_right.jpg,generated_candidate,pending_stage_d_visual_qc,"symbol=straight_or_right; size=186; angle=-4.40; blue=(6, 79, 164); brightness=1.03; contrast=1.09; offset=(20,3)",ee40fd9bffd299cc511971497f073087421bf7f944999b118935d6356ad7e318,Project-owned generated reference-symbol candidate; not real camera coverage.
stage_c_sprint_04_compound_mandatory_symbols,S04-008_straight_or_right,straight_or_right,compound_mandatory_direction,data/generated/stage_c_sprint_04_compound_mandatory_symbols/straight_or_right/S04-008_straight_or_right.jpg,generated_candidate,pending_stage_d_visual_qc,"symbol=straight_or_right; size=197; angle=5.42; blue=(7, 104, 196); brightness=1.02; contrast=1.07; offset=(0,5)",58bb39be928741137ceb15cf25fd275528e3670fed09e8069b57502b1d5cd883,Project-owned generated reference-symbol candidate; not real camera coverage.
stage_c_sprint_04_compound_mandatory_symbols,S04-009_straight_or_right,straight_or_right,compound_mandatory_direction,data/generated/stage_c_sprint_04_compound_mandatory_symbols/straight_or_right/S04-009_straight_or_right.jpg,generated_candidate,pending_stage_d_visual_qc,"symbol=straight_or_right; size=171; angle=-4.65; blue=(5, 98, 164); brightness=1.05; contrast=1.05; offset=(23,10)",a8f194c914dc2991eac7893bd40b698d7cd0c09d806d8b36827f9c925b764e96,Project-owned generated reference-symbol candidate; not real camera coverage.
stage_c_sprint_04_compound_mandatory_symbols,S04-010_straight_or_right,straight_or_right,compound_mandatory_direction,data/generated/stage_c_sprint_04_compound_mandatory_symbols/straight_or_right/S04-010_straight_or_right.jpg,generated_candidate,pending_stage_d_visual_qc,"symbol=straight_or_right; size=204; angle=5.69; blue=(12, 83, 192); brightness=0.93; contrast=1.12; offset=(-2,-4)",fd17f21669f733f8d9c15a8731a666a61a7f4b604076d7845ca7651aaf72a0cd,Project-owned generated reference-symbol candidate; not real camera coverage.
