stage_id,candidate_id,semantic_sign_id,display_name,source_dataset,source_url,license_notes,source_split,source_class_id,source_class_label,mapping_evidence,source_member_path,source_sha256,local_crop_path,crop_sha256,crop_width,crop_height,source_modality,review_status,counts_for_candidate_coverage,notes
stage_c_gap_fill_02_public_real_sources,GTSRB02-29-0001,bicycle_crossing,Bicycle crossing,German Traffic Sign Recognition Benchmark / GTSRB,https://benchmark.ini.rub.de/,GTSRB official site states free use with required citation; keep for academic/non-commercial project use.,train,29,Bicycles crossing,GTSRB class 29 is the real-road bicycle-crossing warning sign.,GTSRB/Training/00029/00000_00000.ppm,67561b2f5344e37e67deee0f4cd5f9a4a835ea035c93258f713e9524eedf7037,data/raw/online_sources/stage_c_gap_fill_02_public_real_sources/crops/bicycle_crossing/GTSRB02-29-0001_00000_00000.jpg,144e4156a8783b21779c61609bc6db1345bd38197e329e3d87364150324db314,27,36,real_road_photo_crop_classification_dataset,auto_exact_label_pending_stage_d_visual_qc,yes_pending_stage_d_qc,GTSRB image is already a cropped sign classification sample.
stage_c_gap_fill_02_public_real_sources,GTSRB02-29-0002,bicycle_crossing,Bicycle crossing,German Traffic Sign Recognition Benchmark / GTSRB,https://benchmark.ini.rub.de/,GTSRB official site states free use with required citation; keep for academic/non-commercial project use.,train,29,Bicycles crossing,GTSRB class 29 is the real-road bicycle-crossing warning sign.,GTSRB/Training/00029/00000_00004.ppm,312c0fb8a8ff59017d1d2210e62514d233273e1d32c87470f85911525c740e5a,data/raw/online_sources/stage_c_gap_fill_02_public_real_sources/crops/bicycle_crossing/GTSRB02-29-0002_00000_00004.jpg,8e116a4f845d8eb30c2d9f03f4d46b851d0e2bc8c85fc85e2b141ca70616a237,31,41,real_road_photo_crop_classification_dataset,auto_exact_label_pending_stage_d_visual_qc,yes_pending_stage_d_qc,GTSRB image is already a cropped sign classification sample.
stage_c_gap_fill_02_public_real_sources,GTSRB02-29-0003,bicycle_crossing,Bicycle crossing,German Traffic Sign Recognition Benchmark / GTSRB,https://benchmark.ini.rub.de/,GTSRB official site states free use with required citation; keep for academic/non-commercial project use.,train,29,Bicycles crossing,GTSRB class 29 is the real-road bicycle-crossing warning sign.,GTSRB/Training/00029/00000_00007.ppm,319e8a91668ab7d646f212d065548f7b40abb06d7a5512f5e4b78a5f72010f38,data/raw/online_sources/stage_c_gap_fill_02_public_real_sources/crops/bicycle_crossing/GTSRB02-29-0003_00000_00007.jpg,7c9c128bb2ef96dd42ab9521df5ef5426b75e5c4c4747c38e9c5ab2cb6f57c43,32,42,real_road_photo_crop_classification_dataset,auto_exact_label_pending_stage_d_visual_qc,yes_pending_stage_d_qc,GTSRB image is already a cropped sign classification sample.
stage_c_gap_fill_02_public_real_sources,GTSRB02-29-0004,bicycle_crossing,Bicycle crossing,German Traffic Sign Recognition Benchmark / GTSRB,https://benchmark.ini.rub.de/,GTSRB official site states free use with required citation; keep for academic/non-commercial project use.,train,29,Bicycles crossing,GTSRB class 29 is the real-road bicycle-crossing warning sign.,GTSRB/Training/00029/00000_00011.ppm,1ad470d88570f791c8d561f17239f818340443e09fd4e4a5c5af88b823be8c64,data/raw/online_sources/stage_c_gap_fill_02_public_real_sources/crops/bicycle_crossing/GTSRB02-29-0004_00000_00011.jpg,97fc7bcd406abaa6983ca430465ac2d799d94c3bbbb713f5b80dc1f21bf29ee9,33,47,real_road_photo_crop_classification_dataset,auto_exact_label_pending_stage_d_visual_qc,yes_pending_stage_d_qc,GTSRB image is already a cropped sign classification sample.
stage_c_gap_fill_02_public_real_sources,GTSRB02-29-0005,bicycle_crossing,Bicycle crossing,German Traffic Sign Recognition Benchmark / GTSRB,https://benchmark.ini.rub.de/,GTSRB official site states free use with required citation; keep for academic/non-commercial project use.,train,29,Bicycles crossing,GTSRB class 29 is the real-road bicycle-crossing warning sign.,GTSRB/Training/00029/00000_00015.ppm,43f6de80332cda686131b159a2e1adfb803f9763d584ba5040b3ee4da505b493,data/raw/online_sources/stage_c_gap_fill_02_public_real_sources/crops/bicycle_crossing/GTSRB02-29-0005_00000_00015.jpg,4c9831d38687233ea1652b09c6f466ec59f348cbb94e13d38c42ce545f66bf64,39,58,real_road_photo_crop_classification_dataset,auto_exact_label_pending_stage_d_visual_qc,yes_pending_stage_d_qc,GTSRB image is already a cropped sign classification sample.
stage_c_gap_fill_02_public_real_sources,GTSRB02-29-0006,bicycle_crossing,Bicycle crossing,German Traffic Sign Recognition Benchmark / GTSRB,https://benchmark.ini.rub.de/,GTSRB official site states free use with required citation; keep for academic/non-commercial project use.,train,29,Bicycles crossing,GTSRB class 29 is the real-road bicycle-crossing warning sign.,GTSRB/Training/00029/00000_00018.ppm,f5b2f7426e5f977e4da762352f9443565c8b0537c66195cd7546858ca8896f8e,data/raw/online_sources/stage_c_gap_fill_02_public_real_sources/crops/bicycle_crossing/GTSRB02-29-0006_00000_00018.jpg,1cba13d0e9d11cd42e9fa28d93f31144f4c2fea70111d8843b20b0bb66c57a9e,43,68,real_road_photo_crop_classification_dataset,auto_exact_label_pending_stage_d_visual_qc,yes_pending_stage_d_qc,GTSRB image is already a cropped sign classification sample.
stage_c_gap_fill_02_public_real_sources,GTSRB02-29-0007,bicycle_crossing,Bicycle crossing,German Traffic Sign Recognition Benchmark / GTSRB,https://benchmark.ini.rub.de/,GTSRB official site states free use with required citation; keep for academic/non-commercial project use.,train,29,Bicycles crossing,GTSRB class 29 is the real-road bicycle-crossing warning sign.,GTSRB/Training/00029/00000_00022.ppm,a8735eaa25ac601c4bae31851046e6b8f223d43ce3c603eddd0cb72e083fa89c,data/raw/online_sources/stage_c_gap_fill_02_public_real_sources/crops/bicycle_crossing/GTSRB02-29-0007_00000_00022.jpg,1465f9a690ed131a1e6e2ef9419744a229ed779a5bf5f5295322ca495c6ccc53,51,85,real_road_photo_crop_classification_dataset,auto_exact_label_pending_stage_d_visual_qc,yes_pending_stage_d_qc,GTSRB image is already a cropped sign classification sample.
stage_c_gap_fill_02_public_real_sources,GTSRB02-29-0008,bicycle_crossing,Bicycle crossing,German Traffic Sign Recognition Benchmark / GTSRB,https://benchmark.ini.rub.de/,GTSRB official site states free use with required citation; keep for academic/non-commercial project use.,train,29,Bicycles crossing,GTSRB class 29 is the real-road bicycle-crossing warning sign.,GTSRB/Training/00029/00000_00026.ppm,c372bc64d77bab2699e4ec925f76676f0f019aec10caf882e56ed8b0ff1e43b6,data/raw/online_sources/stage_c_gap_fill_02_public_real_sources/crops/bicycle_crossing/GTSRB02-29-0008_00000_00026.jpg,6f0bdabbff272b593743be48def60e48e634656251eae14552ea4492086b6857,62,121,real_road_photo_crop_classification_dataset,auto_exact_label_pending_stage_d_visual_qc,yes_pending_stage_d_qc,GTSRB image is already a cropped sign classification sample.
stage_c_gap_fill_02_public_real_sources,GTSRB02-29-0009,bicycle_crossing,Bicycle crossing,German Traffic Sign Recognition Benchmark / GTSRB,https://benchmark.ini.rub.de/,GTSRB official site states free use with required citation; keep for academic/non-commercial project use.,train,29,Bicycles crossing,GTSRB class 29 is the real-road bicycle-crossing warning sign.,GTSRB/Training/00029/00000_00029.ppm,98e1b82d60a3c4295af927fd893e24d412b7710e3970a439a313c1ed11bc3015,data/raw/online_sources/stage_c_gap_fill_02_public_real_sources/crops/bicycle_crossing/GTSRB02-29-0009_00000_00029.jpg,d6057b1c674e8e53d2ab11293b1403f26ea2bb19141b0738c3178991ac41b863,67,182,real_road_photo_crop_classification_dataset,auto_exact_label_pending_stage_d_visual_qc,yes_pending_stage_d_qc,GTSRB image is already a cropped sign classification sample.
stage_c_gap_fill_02_public_real_sources,GTSRB02-29-0010,bicycle_crossing,Bicycle crossing,German Traffic Sign Recognition Benchmark / GTSRB,https://benchmark.ini.rub.de/,GTSRB official site states free use with required citation; keep for academic/non-commercial project use.,train,29,Bicycles crossing,GTSRB class 29 is the real-road bicycle-crossing warning sign.,GTSRB/Training/00029/00001_00003.ppm,fac322912d6de3079635ce1b89346e80ce1831e5d0d7f8e0d10503664c44588d,data/raw/online_sources/stage_c_gap_fill_02_public_real_sources/crops/bicycle_crossing/GTSRB02-29-0010_00001_00003.jpg,109490da21faaa9a0776697efddafff3d0fa515be5fb574da831f112492f8c2c,40,35,real_road_photo_crop_classification_dataset,auto_exact_label_pending_stage_d_visual_qc,yes_pending_stage_d_qc,GTSRB image is already a cropped sign classification sample.
