stage_id,candidate_id,semantic_sign_id,source_title,commons_page_url,source_file_url,thumbnail_url,license_short_name,license_url,artist,credit,source_family,source_modality,mapping_confidence,counts_for_realistic_photo_coverage,local_original_path,local_raster_path,download_status,review_status,notes
stage_c_online_reference_sources_01,ONREF01-001,straight_ahead,File:Malaysia road sign RM1c.svg,https://commons.wikimedia.org/wiki/File:Malaysia_road_sign_RM1c.svg,https://upload.wikimedia.org/wikipedia/commons/3/3c/Malaysia_road_sign_RM1c.svg,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3c/Malaysia_road_sign_RM1c.svg/960px-Malaysia_road_sign_RM1c.svg.png,Public domain,,Public Works Department Malaysia,Manual on Traffic Control Devices,wikimedia_commons_malaysia_mandatory_svg,official_style_reference_diagram,high,no_reference_only,data/raw/online_sources/stage_c_reference_01/wikimedia_commons/straight_ahead/original/Malaysia_road_sign_RM1c.svg,data/raw/online_sources/stage_c_reference_01/wikimedia_commons/straight_ahead/raster/Malaysia_road_sign_RM1c.png,downloaded_reference_candidate,pending_stage_d_visual_qc,Exact Malaysian mandatory go-straight sign reference.
stage_c_online_reference_sources_01,ONREF01-002,straight_or_right,File:Malaysia road sign RM1e.svg,https://commons.wikimedia.org/wiki/File:Malaysia_road_sign_RM1e.svg,https://upload.wikimedia.org/wikipedia/commons/3/39/Malaysia_road_sign_RM1e.svg,https://upload.wikimedia.org/wikipedia/commons/thumb/3/39/Malaysia_road_sign_RM1e.svg/960px-Malaysia_road_sign_RM1e.svg.png,Public domain,,Public Works Department Malaysia,Manual on Traffic Control Devices,wikimedia_commons_malaysia_mandatory_svg,official_style_reference_diagram,high,no_reference_only,data/raw/online_sources/stage_c_reference_01/wikimedia_commons/straight_or_right/original/Malaysia_road_sign_RM1e.svg,data/raw/online_sources/stage_c_reference_01/wikimedia_commons/straight_or_right/raster/Malaysia_road_sign_RM1e.png,downloaded_reference_candidate,pending_stage_d_visual_qc,Exact Malaysian mandatory straight-or-right sign reference.
stage_c_online_reference_sources_01,ONREF01-003,turn_left,File:Malaysia road sign RM1a.svg,https://commons.wikimedia.org/wiki/File:Malaysia_road_sign_RM1a.svg,https://upload.wikimedia.org/wikipedia/commons/0/00/Malaysia_road_sign_RM1a.svg,https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Malaysia_road_sign_RM1a.svg/960px-Malaysia_road_sign_RM1a.svg.png,Public domain,,Public Works Department Malaysia,Manual on Traffic Control Devices,wikimedia_commons_malaysia_mandatory_svg,official_style_reference_diagram,high,no_reference_only,data/raw/online_sources/stage_c_reference_01/wikimedia_commons/turn_left/original/Malaysia_road_sign_RM1a.svg,data/raw/online_sources/stage_c_reference_01/wikimedia_commons/turn_left/raster/Malaysia_road_sign_RM1a.png,downloaded_reference_candidate,pending_stage_d_visual_qc,Exact Malaysian mandatory turn-left sign reference.
stage_c_online_reference_sources_01,ONREF01-004,turn_right,File:Malaysia road sign RM1b.svg,https://commons.wikimedia.org/wiki/File:Malaysia_road_sign_RM1b.svg,https://upload.wikimedia.org/wikipedia/commons/a/a7/Malaysia_road_sign_RM1b.svg,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a7/Malaysia_road_sign_RM1b.svg/960px-Malaysia_road_sign_RM1b.svg.png,Public domain,,Public Works Department Malaysia,Manual on Traffic Control Devices,wikimedia_commons_malaysia_mandatory_svg,official_style_reference_diagram,high,no_reference_only,data/raw/online_sources/stage_c_reference_01/wikimedia_commons/turn_right/original/Malaysia_road_sign_RM1b.svg,data/raw/online_sources/stage_c_reference_01/wikimedia_commons/turn_right/raster/Malaysia_road_sign_RM1b.png,downloaded_reference_candidate,pending_stage_d_visual_qc,Exact Malaysian mandatory turn-right sign reference.
stage_c_online_reference_sources_01,ONREF01-005,motor_vehicles_only,File:Malaysia road sign RM3a.svg,https://commons.wikimedia.org/wiki/File:Malaysia_road_sign_RM3a.svg,https://upload.wikimedia.org/wikipedia/commons/d/da/Malaysia_road_sign_RM3a.svg,https://upload.wikimedia.org/wikipedia/commons/thumb/d/da/Malaysia_road_sign_RM3a.svg/960px-Malaysia_road_sign_RM3a.svg.png,Public domain,,Public Works Department Malaysia,Manual on Traffic Control Devices,wikimedia_commons_malaysia_mandatory_svg,official_style_reference_diagram,low_possible_mismatch,no_reference_only,data/raw/online_sources/stage_c_reference_01/wikimedia_commons/motor_vehicles_only/original/Malaysia_road_sign_RM3a.svg,data/raw/online_sources/stage_c_reference_01/wikimedia_commons/motor_vehicles_only/raster/Malaysia_road_sign_RM3a.png,downloaded_reference_candidate,pending_stage_d_visual_qc,Malaysian compulsory vehicles-track reference. Visual review shows multiple vehicle types and it may not match assignment motor-vehicles-only artwork; do not treat as solved without lecturer/manual confirmation.
stage_c_online_reference_sources_01,ONREF01-006,pass_either_side,File:Malaysia road sign RM4c.svg,https://commons.wikimedia.org/wiki/File:Malaysia_road_sign_RM4c.svg,https://upload.wikimedia.org/wikipedia/commons/8/84/Malaysia_road_sign_RM4c.svg,https://upload.wikimedia.org/wikipedia/commons/thumb/8/84/Malaysia_road_sign_RM4c.svg/960px-Malaysia_road_sign_RM4c.svg.png,Public domain,,Public Works Department Malaysia,Manual on Traffic Control Devices,wikimedia_commons_malaysia_mandatory_svg,official_style_reference_diagram,high,no_reference_only,data/raw/online_sources/stage_c_reference_01/wikimedia_commons/pass_either_side/original/Malaysia_road_sign_RM4c.svg,data/raw/online_sources/stage_c_reference_01/wikimedia_commons/pass_either_side/raster/Malaysia_road_sign_RM4c.png,downloaded_reference_candidate,pending_stage_d_visual_qc,Exact Malaysian mandatory pass-either-side / keep-left-and-right reference.
stage_c_online_reference_sources_01,ONREF01-007,school_zone,File:School zone speed limit.png,https://commons.wikimedia.org/wiki/File:School_zone_speed_limit.png,https://upload.wikimedia.org/wikipedia/commons/f/f6/School_zone_speed_limit.png,https://upload.wikimedia.org/wikipedia/commons/f/f6/School_zone_speed_limit.png,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,FS88,Own work,huggingface_wikipedia_malaysian_road_sign_images,malaysia_reference_diagram,high,no_reference_only,data/raw/online_sources/stage_c_reference_01/wikimedia_commons/school_zone/original/School_zone_speed_limit.png,data/raw/online_sources/stage_c_reference_01/wikimedia_commons/school_zone/raster/School_zone_speed_limit.png,downloaded_reference_candidate,pending_stage_d_visual_qc,Malaysian school-zone speed-limit reference from Wikimedia-hosted image.
stage_c_online_reference_sources_01,ONREF01-008,school_zone,File:Sekolah Had Laju 30 kmj.png,https://commons.wikimedia.org/wiki/File:Sekolah_Had_Laju_30_kmj.png,https://upload.wikimedia.org/wikipedia/commons/2/20/Sekolah_Had_Laju_30_kmj.png,https://upload.wikimedia.org/wikipedia/commons/2/20/Sekolah_Had_Laju_30_kmj.png,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,Fiq Shafiq - Donated by the original author via Blog Jalan Raya Malaysia Facebook page,Donated by the original author via Blog Jalan Raya Malaysia Facebook page,wikimedia_commons_malaysia_warning_diagram,malaysia_reference_diagram,high,no_reference_only,data/raw/online_sources/stage_c_reference_01/wikimedia_commons/school_zone/original/Sekolah_Had_Laju_30_kmj.png,data/raw/online_sources/stage_c_reference_01/wikimedia_commons/school_zone/raster/Sekolah_Had_Laju_30_kmj.png,downloaded_reference_candidate,pending_stage_d_visual_qc,Malay school-zone speed-limit diagram; useful for school-zone visual/text reference.
stage_c_online_reference_sources_01,ONREF01-009,steep_descent,File:Malaysia road sign WD8.svg,https://commons.wikimedia.org/wiki/File:Malaysia_road_sign_WD8.svg,https://upload.wikimedia.org/wikipedia/commons/b/ba/Malaysia_road_sign_WD8.svg,https://upload.wikimedia.org/wikipedia/commons/thumb/b/ba/Malaysia_road_sign_WD8.svg/960px-Malaysia_road_sign_WD8.svg.png,Public domain,,Public Works Department Malaysia,Manual on Traffic Control Devices,wikimedia_commons_malaysia_warning_svg,official_style_reference_diagram,high,no_reference_only,data/raw/online_sources/stage_c_reference_01/wikimedia_commons/steep_descent/original/Malaysia_road_sign_WD8.svg,data/raw/online_sources/stage_c_reference_01/wikimedia_commons/steep_descent/raster/Malaysia_road_sign_WD8.png,downloaded_reference_candidate,pending_stage_d_visual_qc,Exact Malaysian downhill-slope / steep-descent warning reference.
stage_c_online_reference_sources_01,ONREF01-010,steep_descent,File:Cerun menurun.png,https://commons.wikimedia.org/wiki/File:Cerun_menurun.png,https://upload.wikimedia.org/wikipedia/commons/a/a8/Cerun_menurun.png,https://upload.wikimedia.org/wikipedia/commons/a/a8/Cerun_menurun.png,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,Fiq Shafiq,Donated by the original author via Blog Jalan Raya Malaysia Facebook page,wikimedia_commons_malaysia_warning_diagram,malaysia_reference_diagram,high,no_reference_only,data/raw/online_sources/stage_c_reference_01/wikimedia_commons/steep_descent/original/Cerun_menurun.png,data/raw/online_sources/stage_c_reference_01/wikimedia_commons/steep_descent/raster/Cerun_menurun.png,downloaded_reference_candidate,pending_stage_d_visual_qc,Malay steep-descent diagram from Malaysian warning-sign Commons category.
