stage_id,candidate_id,semantic_sign_id,display_name,source_title,commons_page_url,source_file_url,download_url,license_short_name,license_url,artist,source_modality,mapping_evidence,assignment_reference_path,local_original_path,local_crop_path,source_sha256,crop_sha256,source_width,source_height,crop_width,crop_height,crop_bbox_xyxy,crop_method,review_status,counts_for_candidate_coverage,notes
stage_c_manual_01_visual_commons,MAN01-NSA-0001,no_straight_ahead,No straight ahead,File:China road sign 禁 24.svg,https://commons.wikimedia.org/wiki/File:China_road_sign_%E7%A6%81_24.svg,https://upload.wikimedia.org/wikipedia/commons/a/ab/China_road_sign_%E7%A6%81_24.svg,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ab/China_road_sign_%E7%A6%81_24.svg/960px-China_road_sign_%E7%A6%81_24.svg.png,Public domain,,Beijing Traffic Management Bureau,official_style_reference_diagram,"Visual match against assignment reference sign_010: red circle, black straight-ahead arrow, red diagonal prohibition slash.",data/official/assignment_images/Red Signs/010_1_0013.png,data/raw/manual_collection/stage_c_manual_01/no_straight_ahead/original/MAN01-NSA-0001_China_road_sign_24.svg.png,data/raw/manual_collection/stage_c_manual_01/no_straight_ahead/crops/MAN01-NSA-0001_China_road_sign_24.svg.jpg,0b4972d038887a68aa3c67acec6ad866f85bcf975b7da0539aa46f049b683853,c9857adbf5e772242cd5c889979ec8b4b8eade6863c7eb22ac2bed055f33096a,960,969,960,969,"0,0,960,969",red_component_auto_crop,visual_match_pending_stage_d_qc,yes_pending_stage_d_qc,China/GB-style no-straight-ahead sign; exact visual family for coursework sign_010.
stage_c_manual_01_visual_commons,MAN01-NSA-0002,no_straight_ahead,No straight ahead,File:Vietnam road sign P136.svg,https://commons.wikimedia.org/wiki/File:Vietnam_road_sign_P136.svg,https://upload.wikimedia.org/wikipedia/commons/3/32/Vietnam_road_sign_P136.svg,https://upload.wikimedia.org/wikipedia/commons/thumb/3/32/Vietnam_road_sign_P136.svg/960px-Vietnam_road_sign_P136.svg.png,Public domain,,Government of Vietnam,official_style_reference_diagram,"Visual match against assignment reference sign_010: red circle, black straight-ahead arrow, red diagonal prohibition slash.",data/official/assignment_images/Red Signs/010_1_0013.png,data/raw/manual_collection/stage_c_manual_01/no_straight_ahead/original/MAN01-NSA-0002_Vietnam_road_sign_P136.svg.png,data/raw/manual_collection/stage_c_manual_01/no_straight_ahead/crops/MAN01-NSA-0002_Vietnam_road_sign_P136.svg.jpg,836d486f7ac075b2888c5354b81d7761ec364349b872c76489d51414f4d5a00e,a200c2b626a92c4cfb4da1eeedc615cc0f41ad4505d41aa15936fa70aac0e845,960,960,960,960,"0,0,960,960",red_component_auto_crop,visual_match_pending_stage_d_qc,yes_pending_stage_d_qc,Vietnam official-style no-straight-ahead sign with arrow and red slash.
stage_c_manual_01_visual_commons,MAN01-NSA-0003,no_straight_ahead,No straight ahead,File:IE road sign RUS-011.svg,https://commons.wikimedia.org/wiki/File:IE_road_sign_RUS-011.svg,https://upload.wikimedia.org/wikipedia/commons/8/82/IE_road_sign_RUS-011.svg,https://upload.wikimedia.org/wikipedia/commons/thumb/8/82/IE_road_sign_RUS-011.svg/960px-IE_road_sign_RUS-011.svg.png,Public domain,,Government of Ireland – Department of Transport,official_style_reference_diagram,"Visual match against assignment reference sign_010: red circle, black straight-ahead arrow, red diagonal prohibition slash.",data/official/assignment_images/Red Signs/010_1_0013.png,data/raw/manual_collection/stage_c_manual_01/no_straight_ahead/original/MAN01-NSA-0003_IE_road_sign_RUS-011.svg.png,data/raw/manual_collection/stage_c_manual_01/no_straight_ahead/crops/MAN01-NSA-0003_IE_road_sign_RUS-011.svg.jpg,62364c31a3b0fba25f50490d66073c2829136aa04e663aec4de494dfdb0937b5,77106b682a6eac66107e5e88e618bd0a7f4992ffb07ff31130fc4d6feabb8fe7,960,960,960,960,"0,0,960,960",red_component_auto_crop,visual_match_pending_stage_d_qc,yes_pending_stage_d_qc,Ireland official-style RUS-011 no-straight-ahead sign.
stage_c_manual_01_visual_commons,MAN01-NSA-0004,no_straight_ahead,No straight ahead,"File:Signs-1050382, Heuston Station, Dublin, Ireland.jpg","https://commons.wikimedia.org/wiki/File:Signs-1050382,_Heuston_Station,_Dublin,_Ireland.jpg",https://upload.wikimedia.org/wikipedia/commons/0/06/Signs-1050382%2C_Heuston_Station%2C_Dublin%2C_Ireland.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/0/06/Signs-1050382%2C_Heuston_Station%2C_Dublin%2C_Ireland.jpg/960px-Signs-1050382%2C_Heuston_Station%2C_Dublin%2C_Ireland.jpg,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,Leimanbhradain,real_road_photo_visual_match,"Visual match against assignment reference sign_010: red circle, black straight-ahead arrow, red diagonal prohibition slash.",data/official/assignment_images/Red Signs/010_1_0013.png,data/raw/manual_collection/stage_c_manual_01/no_straight_ahead/original/MAN01-NSA-0004_Signs-1050382_Heuston_Station_Dublin_Ireland.jpg.jpg,data/raw/manual_collection/stage_c_manual_01/no_straight_ahead/crops/MAN01-NSA-0004_Signs-1050382_Heuston_Station_Dublin_Ireland.jpg.jpg,6bbbc15d2a7e08b2f03bd03e41d654b96d204630a64d773bef1d0444dddbdece,8bf5b815c430fa5ef3d5ba694986e4563b15c0f4f2c30e0c5ed331da5fd5792f,960,1280,703,703,"127,68,830,771",red_component_auto_crop,visual_match_pending_stage_d_qc,yes_pending_stage_d_qc,Real road photo with a straight-arrow-only RUS-011 no-straight-ahead sign.
stage_c_manual_01_visual_commons,MAN01-NSA-0005,no_straight_ahead,No straight ahead,File:KR road sign 212.svg,https://commons.wikimedia.org/wiki/File:KR_road_sign_212.svg,https://upload.wikimedia.org/wikipedia/commons/7/7e/KR_road_sign_212.svg,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7e/KR_road_sign_212.svg/960px-KR_road_sign_212.svg.png,South Korea-Gov,,Government of the Republic of Korea,official_style_reference_diagram,"Visual match against assignment reference sign_010: red circle, black straight-ahead arrow, red diagonal prohibition slash.",data/official/assignment_images/Red Signs/010_1_0013.png,data/raw/manual_collection/stage_c_manual_01/no_straight_ahead/original/MAN01-NSA-0005_KR_road_sign_212.svg.png,data/raw/manual_collection/stage_c_manual_01/no_straight_ahead/crops/MAN01-NSA-0005_KR_road_sign_212.svg.jpg,a397d14eff0876dcc676719bf9616757fd555d8cf0f3a16446a7ea3b2299ed37,9598c2c0706108122269b6d42d2621a266a35e53f895e72eedc3fab34d09f8d7,960,960,960,960,"0,0,960,960",red_component_auto_crop,visual_match_pending_stage_d_qc,yes_pending_stage_d_qc,Korean official-style no-straight-ahead sign with a straight arrow only.
stage_c_manual_01_visual_commons,MAN01-NSA-0006,no_straight_ahead,No straight ahead,File:Road sign Thailand.jpg,https://commons.wikimedia.org/wiki/File:Road_sign_Thailand.jpg,https://upload.wikimedia.org/wikipedia/commons/b/bd/Road_sign_Thailand.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bd/Road_sign_Thailand.jpg/960px-Road_sign_Thailand.jpg,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,Dickelbers,real_road_photo_visual_match,"Visual match against assignment reference sign_010: red circle, black straight-ahead arrow, red diagonal prohibition slash.",data/official/assignment_images/Red Signs/010_1_0013.png,data/raw/manual_collection/stage_c_manual_01/no_straight_ahead/original/MAN01-NSA-0006_Road_sign_Thailand.jpg.jpg,data/raw/manual_collection/stage_c_manual_01/no_straight_ahead/crops/MAN01-NSA-0006_Road_sign_Thailand.jpg.jpg,519399d5c9512ef0f837d110de346f75ef405c9e61b7af52603def38a7e8ef06,2e22aa276eb5b320f82de731afde67d66bd9df8be37990738dc09101bb855f17,960,1440,960,1440,"0,0,960,1440",red_component_auto_crop,visual_match_pending_stage_d_qc,yes_pending_stage_d_qc,"Real road photo; red circle, black straight arrow, and red prohibition slash."
stage_c_manual_01_visual_commons,MAN01-NSA-0007,no_straight_ahead,No straight ahead,File:Irish No Entry old style 146361.jpg,https://commons.wikimedia.org/wiki/File:Irish_No_Entry_old_style_146361.jpg,https://upload.wikimedia.org/wikipedia/commons/1/10/Irish_No_Entry_old_style_146361.jpg,https://upload.wikimedia.org/wikipedia/commons/1/10/Irish_No_Entry_old_style_146361.jpg,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,RHaworth,real_road_photo_visual_match,"Visual match against assignment reference sign_010: red circle, black straight-ahead arrow, red diagonal prohibition slash.",data/official/assignment_images/Red Signs/010_1_0013.png,data/raw/manual_collection/stage_c_manual_01/no_straight_ahead/original/MAN01-NSA-0007_Irish_No_Entry_old_style_146361.jpg.jpg,data/raw/manual_collection/stage_c_manual_01/no_straight_ahead/crops/MAN01-NSA-0007_Irish_No_Entry_old_style_146361.jpg.jpg,1b1a2bbab74235ed1fc016b85d390e161c24426363c66083112e4001ac9feea4,4a0e11c1fe10ff27c9d836a7582b2febaa87f9aea1be1a1bbd07ab45f34151d2,480,640,310,310,"88,101,398,411",red_component_auto_crop,visual_match_pending_stage_d_qc,yes_pending_stage_d_qc,Real road photo showing no-entry-one-way-street/no-straight-ahead arrow sign.
stage_c_manual_01_visual_commons,MAN01-NSA-0008,no_straight_ahead,No straight ahead,"File:Sign-1140468, Terenure, Dublin, Ireland.jpg","https://commons.wikimedia.org/wiki/File:Sign-1140468,_Terenure,_Dublin,_Ireland.jpg",https://upload.wikimedia.org/wikipedia/commons/8/8c/Sign-1140468%2C_Terenure%2C_Dublin%2C_Ireland.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8c/Sign-1140468%2C_Terenure%2C_Dublin%2C_Ireland.jpg/960px-Sign-1140468%2C_Terenure%2C_Dublin%2C_Ireland.jpg,CC0,http://creativecommons.org/publicdomain/zero/1.0/deed.en,Leimanbhradain,real_road_photo_visual_match,"Visual match against assignment reference sign_010: red circle, black straight-ahead arrow, red diagonal prohibition slash.",data/official/assignment_images/Red Signs/010_1_0013.png,data/raw/manual_collection/stage_c_manual_01/no_straight_ahead/original/MAN01-NSA-0008_Sign-1140468_Terenure_Dublin_Ireland.jpg.jpg,data/raw/manual_collection/stage_c_manual_01/no_straight_ahead/crops/MAN01-NSA-0008_Sign-1140468_Terenure_Dublin_Ireland.jpg.jpg,35c4435315434b7f45c59b8965f6b574a9b2312880be88df74c325855e2b8f40,62faf9b15af1f4bac39bb5ee64dccaac9a6cf8b0667527632a8c61c2588f40de,960,1280,960,1280,"0,0,960,1280",red_component_auto_crop,visual_match_pending_stage_d_qc,yes_pending_stage_d_qc,Real road photo with a clear no-straight-ahead arrow-slash sign.
stage_c_manual_01_visual_commons,MAN01-NSA-0009,no_straight_ahead,No straight ahead,File:IE road sign RUS 011 & P 050.jpg,https://commons.wikimedia.org/wiki/File:IE_road_sign_RUS_011_%26_P_050.jpg,https://upload.wikimedia.org/wikipedia/commons/f/f4/IE_road_sign_RUS_011_%26_P_050.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f4/IE_road_sign_RUS_011_%26_P_050.jpg/960px-IE_road_sign_RUS_011_%26_P_050.jpg,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,GilPe,real_road_photo_visual_match,"Visual match against assignment reference sign_010: red circle, black straight-ahead arrow, red diagonal prohibition slash.",data/official/assignment_images/Red Signs/010_1_0013.png,data/raw/manual_collection/stage_c_manual_01/no_straight_ahead/original/MAN01-NSA-0009_IE_road_sign_RUS_011_P_050.jpg.jpg,data/raw/manual_collection/stage_c_manual_01/no_straight_ahead/crops/MAN01-NSA-0009_IE_road_sign_RUS_011_P_050.jpg.jpg,96fa280df1de034a389ef009a001750d13cf6e4b6556adf3f9550d097a621fce,ee1e86b462ec413efc22aa2921d0ffbebaa78902db5f73aa0365818953bb1d54,960,1344,960,960,"0,0,960,960",red_component_auto_crop,visual_match_pending_stage_d_qc,yes_pending_stage_d_qc,Real road photo of RUS-011 plus parking plate; crop targets RUS-011 only.
stage_c_manual_01_visual_commons,MAN01-NSA-0010,no_straight_ahead,No straight ahead,"File:Sign-1130767, Dingle Peninsula, Co. Kerry, Ireland.jpg","https://commons.wikimedia.org/wiki/File:Sign-1130767,_Dingle_Peninsula,_Co._Kerry,_Ireland.jpg",https://upload.wikimedia.org/wikipedia/commons/9/92/Sign-1130767%2C_Dingle_Peninsula%2C_Co._Kerry%2C_Ireland.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/9/92/Sign-1130767%2C_Dingle_Peninsula%2C_Co._Kerry%2C_Ireland.jpg/960px-Sign-1130767%2C_Dingle_Peninsula%2C_Co._Kerry%2C_Ireland.jpg,CC0,http://creativecommons.org/publicdomain/zero/1.0/deed.en,Mucklagh,real_road_photo_visual_match,"Visual match against assignment reference sign_010: red circle, black straight-ahead arrow, red diagonal prohibition slash.",data/official/assignment_images/Red Signs/010_1_0013.png,data/raw/manual_collection/stage_c_manual_01/no_straight_ahead/original/MAN01-NSA-0010_Sign-1130767_Dingle_Peninsula_Co._Kerry_Ireland.jpg.jpg,data/raw/manual_collection/stage_c_manual_01/no_straight_ahead/crops/MAN01-NSA-0010_Sign-1130767_Dingle_Peninsula_Co._Kerry_Ireland.jpg.jpg,2a7fafd24aeac09cf1dbd48ac1a26957aca9bff529b1c008fd2d7303ebcb9d2b,96d77bbd952d2d624fb992735f3f4b6aaeed6e56efd93b079d368c6336c079ee,960,1247,949,949,"11,0,960,949",red_component_auto_crop,visual_match_pending_stage_d_qc,yes_pending_stage_d_qc,Real road photo of RUS-011 no-straight-ahead with surrounding context.
