stage_id,synthetic_id,semantic_sign_id,symbol_family,output_path,generation_status,review_status,ocr_text,parameter_value,transform_summary,sha256,notes
stage_c_sprint_07_regulatory_text_symbols,S07-001_motor_vehicles_only,motor_vehicles_only,regulatory_text_symbol,data/generated/stage_c_sprint_07_regulatory_text_symbols/motor_vehicles_only/S07-001_motor_vehicles_only.jpg,generated_candidate,pending_stage_d_visual_qc,,,"symbol=mandatory_motor; size=168; angle=-3.02; brightness=1.08; contrast=0.90; offset=(24,28)",a100e1b3571bca4120f793f0ceab919d78600a3a3c33cd16fa8fa82147c5f4c9,Project-owned generated regulatory/text candidate; not real camera coverage.
stage_c_sprint_07_regulatory_text_symbols,S07-002_motor_vehicles_only,motor_vehicles_only,regulatory_text_symbol,data/generated/stage_c_sprint_07_regulatory_text_symbols/motor_vehicles_only/S07-002_motor_vehicles_only.jpg,generated_candidate,pending_stage_d_visual_qc,,,"symbol=mandatory_motor; size=176; angle=-0.10; brightness=1.09; contrast=1.02; offset=(27,29)",4bebf5facfb37154552d05ed95da72516ad830dcc8a8e1e2b595c647c8fe16bf,Project-owned generated regulatory/text candidate; not real camera coverage.
stage_c_sprint_07_regulatory_text_symbols,S07-003_motor_vehicles_only,motor_vehicles_only,regulatory_text_symbol,data/generated/stage_c_sprint_07_regulatory_text_symbols/motor_vehicles_only/S07-003_motor_vehicles_only.jpg,generated_candidate,pending_stage_d_visual_qc,,,"symbol=mandatory_motor; size=196; angle=-5.91; brightness=1.11; contrast=1.11; offset=(11,3)",01b59d9ef0f10481563ddc4ddb4fdd555dab9e6c52f5879eb14c9d7788ad6cfe,Project-owned generated regulatory/text candidate; not real camera coverage.
stage_c_sprint_07_regulatory_text_symbols,S07-004_motor_vehicles_only,motor_vehicles_only,regulatory_text_symbol,data/generated/stage_c_sprint_07_regulatory_text_symbols/motor_vehicles_only/S07-004_motor_vehicles_only.jpg,generated_candidate,pending_stage_d_visual_qc,,,"symbol=mandatory_motor; size=188; angle=-4.59; brightness=0.89; contrast=1.13; offset=(13,8)",64dfc0b3015eefa0406e529457b7a58e41cce181d8ef56b0014ae56bc5f99143,Project-owned generated regulatory/text candidate; not real camera coverage.
stage_c_sprint_07_regulatory_text_symbols,S07-005_motor_vehicles_only,motor_vehicles_only,regulatory_text_symbol,data/generated/stage_c_sprint_07_regulatory_text_symbols/motor_vehicles_only/S07-005_motor_vehicles_only.jpg,generated_candidate,pending_stage_d_visual_qc,,,"symbol=mandatory_motor; size=189; angle=-2.13; brightness=1.07; contrast=1.00; offset=(19,15)",fd0e76aa5b498802d8e4289274c75f0c28e44a1064c3493c4c2eae54eba4a70c,Project-owned generated regulatory/text candidate; not real camera coverage.
stage_c_sprint_07_regulatory_text_symbols,S07-006_motor_vehicles_only,motor_vehicles_only,regulatory_text_symbol,data/generated/stage_c_sprint_07_regulatory_text_symbols/motor_vehicles_only/S07-006_motor_vehicles_only.jpg,generated_candidate,pending_stage_d_visual_qc,,,"symbol=mandatory_motor; size=199; angle=1.36; brightness=0.99; contrast=0.95; offset=(12,7)",5a0a88376dc236ccf69be5a4a7f738b9551b9fa94c2c5194d2388b643dd2af5c,Project-owned generated regulatory/text candidate; not real camera coverage.
stage_c_sprint_07_regulatory_text_symbols,S07-007_motor_vehicles_only,motor_vehicles_only,regulatory_text_symbol,data/generated/stage_c_sprint_07_regulatory_text_symbols/motor_vehicles_only/S07-007_motor_vehicles_only.jpg,generated_candidate,pending_stage_d_visual_qc,,,"symbol=mandatory_motor; size=163; angle=5.99; brightness=0.98; contrast=0.97; offset=(12,14)",2a87c49958b3072d95aac931d9cec557b3907880b542ac24d67237deabc81511,Project-owned generated regulatory/text candidate; not real camera coverage.
stage_c_sprint_07_regulatory_text_symbols,S07-008_motor_vehicles_only,motor_vehicles_only,regulatory_text_symbol,data/generated/stage_c_sprint_07_regulatory_text_symbols/motor_vehicles_only/S07-008_motor_vehicles_only.jpg,generated_candidate,pending_stage_d_visual_qc,,,"symbol=mandatory_motor; size=190; angle=-3.50; brightness=1.01; contrast=1.03; offset=(8,20)",e62825246b5c23564de0ee8687ff25c9a43939b9ffcc4e635b6130e69a30b5a0,Project-owned generated regulatory/text candidate; not real camera coverage.
stage_c_sprint_07_regulatory_text_symbols,S07-009_motor_vehicles_only,motor_vehicles_only,regulatory_text_symbol,data/generated/stage_c_sprint_07_regulatory_text_symbols/motor_vehicles_only/S07-009_motor_vehicles_only.jpg,generated_candidate,pending_stage_d_visual_qc,,,"symbol=mandatory_motor; size=203; angle=-2.65; brightness=0.89; contrast=0.94; offset=(2,4)",d6d0ae1965ae9fe6b929ab8716e16914015982de8afaa7f06fb5182db3640293,Project-owned generated regulatory/text candidate; not real camera coverage.
stage_c_sprint_07_regulatory_text_symbols,S07-010_motor_vehicles_only,motor_vehicles_only,regulatory_text_symbol,data/generated/stage_c_sprint_07_regulatory_text_symbols/motor_vehicles_only/S07-010_motor_vehicles_only.jpg,generated_candidate,pending_stage_d_visual_qc,,,"symbol=mandatory_motor; size=188; angle=3.40; brightness=1.02; contrast=0.96; offset=(10,8)",79e2adc787a193bf67d886067a76f6ce797c9abe938491ee57359f64c40af21f,Project-owned generated regulatory/text candidate; not real camera coverage.
stage_c_sprint_07_regulatory_text_symbols,S07-011_motor_vehicles_only,motor_vehicles_only,regulatory_text_symbol,data/generated/stage_c_sprint_07_regulatory_text_symbols/motor_vehicles_only/S07-011_motor_vehicles_only.jpg,generated_candidate,pending_stage_d_visual_qc,,,"symbol=mandatory_motor; size=169; angle=0.97; brightness=1.05; contrast=1.02; offset=(33,17)",63c03d0894423140e31cc0911f0671aa8c27084f80ca30cff5eb62639e1e7cce,Project-owned generated regulatory/text candidate; not real camera coverage.
stage_c_sprint_07_regulatory_text_symbols,S07-012_motor_vehicles_only,motor_vehicles_only,regulatory_text_symbol,data/generated/stage_c_sprint_07_regulatory_text_symbols/motor_vehicles_only/S07-012_motor_vehicles_only.jpg,generated_candidate,pending_stage_d_visual_qc,,,"symbol=mandatory_motor; size=160; angle=-0.55; brightness=1.03; contrast=0.93; offset=(28,23)",201f3dfb6a2ab1ca94a5f26f889083b853ac5702fd3bbb42d0b34577daff6d9f,Project-owned generated regulatory/text candidate; not real camera coverage.
stage_c_sprint_07_regulatory_text_symbols,S07-013_motor_vehicles_only,motor_vehicles_only,regulatory_text_symbol,data/generated/stage_c_sprint_07_regulatory_text_symbols/motor_vehicles_only/S07-013_motor_vehicles_only.jpg,generated_candidate,pending_stage_d_visual_qc,,,"symbol=mandatory_motor; size=199; angle=-3.16; brightness=0.97; contrast=1.06; offset=(15,5)",1d8fcb5b0a9dfbe2be7f2e5ae8cce80a8c9e1bd8d49920462b928dc33d86726f,Project-owned generated regulatory/text candidate; not real camera coverage.
stage_c_sprint_07_regulatory_text_symbols,S07-014_motor_vehicles_only,motor_vehicles_only,regulatory_text_symbol,data/generated/stage_c_sprint_07_regulatory_text_symbols/motor_vehicles_only/S07-014_motor_vehicles_only.jpg,generated_candidate,pending_stage_d_visual_qc,,,"symbol=mandatory_motor; size=183; angle=4.40; brightness=1.00; contrast=1.02; offset=(18,13)",15d57188fb81a8ab89d7a819676884daa68c354f5b779661b3353d6edc91958a,Project-owned generated regulatory/text candidate; not real camera coverage.
stage_c_sprint_07_regulatory_text_symbols,S07-015_motor_vehicles_only,motor_vehicles_only,regulatory_text_symbol,data/generated/stage_c_sprint_07_regulatory_text_symbols/motor_vehicles_only/S07-015_motor_vehicles_only.jpg,generated_candidate,pending_stage_d_visual_qc,,,"symbol=mandatory_motor; size=165; angle=2.18; brightness=1.00; contrast=1.08; offset=(24,22)",4b31b8499c9b44d55075d8c312850dfbbabbed456271690959069a1afa6837a1,Project-owned generated regulatory/text candidate; not real camera coverage.
stage_c_sprint_07_regulatory_text_symbols,S07-016_motor_vehicles_only,motor_vehicles_only,regulatory_text_symbol,data/generated/stage_c_sprint_07_regulatory_text_symbols/motor_vehicles_only/S07-016_motor_vehicles_only.jpg,generated_candidate,pending_stage_d_visual_qc,,,"symbol=mandatory_motor; size=186; angle=-1.94; brightness=1.12; contrast=0.96; offset=(22,24)",c5a550162db9d34441a91d2a4377e54c8d0617f8293696fec802c975a155093c,Project-owned generated regulatory/text candidate; not real camera coverage.
stage_c_sprint_07_regulatory_text_symbols,S07-017_motor_vehicles_only,motor_vehicles_only,regulatory_text_symbol,data/generated/stage_c_sprint_07_regulatory_text_symbols/motor_vehicles_only/S07-017_motor_vehicles_only.jpg,generated_candidate,pending_stage_d_visual_qc,,,"symbol=mandatory_motor; size=188; angle=0.34; brightness=1.10; contrast=0.99; offset=(23,22)",97b8b2e72b9bd66b169ded28f82fe1dffde0a0185a08dc652d0d1aef48470744,Project-owned generated regulatory/text candidate; not real camera coverage.
stage_c_sprint_07_regulatory_text_symbols,S07-018_motor_vehicles_only,motor_vehicles_only,regulatory_text_symbol,data/generated/stage_c_sprint_07_regulatory_text_symbols/motor_vehicles_only/S07-018_motor_vehicles_only.jpg,generated_candidate,pending_stage_d_visual_qc,,,"symbol=mandatory_motor; size=184; angle=-2.63; brightness=0.96; contrast=1.11; offset=(10,6)",178e58bc8aa9f9a914cda2ecd55e8433556af9479230482878fc4da1019db8e0,Project-owned generated regulatory/text candidate; not real camera coverage.
stage_c_sprint_07_regulatory_text_symbols,S07-019_motor_vehicles_only,motor_vehicles_only,regulatory_text_symbol,data/generated/stage_c_sprint_07_regulatory_text_symbols/motor_vehicles_only/S07-019_motor_vehicles_only.jpg,generated_candidate,pending_stage_d_visual_qc,,,"symbol=mandatory_motor; size=158; angle=-3.96; brightness=1.10; contrast=1.13; offset=(27,19)",edb3f8c5b26fe8f424f386c4d357bd1bb92b82707e06b65e6b8a52cdb8e28876,Project-owned generated regulatory/text candidate; not real camera coverage.
stage_c_sprint_07_regulatory_text_symbols,S07-020_motor_vehicles_only,motor_vehicles_only,regulatory_text_symbol,data/generated/stage_c_sprint_07_regulatory_text_symbols/motor_vehicles_only/S07-020_motor_vehicles_only.jpg,generated_candidate,pending_stage_d_visual_qc,,,"symbol=mandatory_motor; size=174; angle=2.97; brightness=0.91; contrast=1.01; offset=(18,12)",853a2609f9d6e7574df21720f775af621b0b08e7db48bbb019e524a4638c7c43,Project-owned generated regulatory/text candidate; not real camera coverage.
