stage_id,candidate_id,semantic_sign_id,source_title,commons_page_url,source_file_url,thumbnail_url,license_short_name,license_url,artist,credit,geographic_relevance,candidate_role,local_original_path,local_raster_path,download_status,review_status,notes
stage_c_sprint_01_commons_near_minimum_topup,S01-001,no_overtaking,File:Malaysia Traffic-signs Regulatory-sign-09.jpg,https://commons.wikimedia.org/wiki/File:Malaysia_Traffic-signs_Regulatory-sign-09.jpg,https://upload.wikimedia.org/wikipedia/commons/9/98/Malaysia_Traffic-signs_Regulatory-sign-09.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/9/98/Malaysia_Traffic-signs_Regulatory-sign-09.jpg/960px-Malaysia_Traffic-signs_Regulatory-sign-09.jpg,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,"CEphoto, Uwe Aranas",Own work,Malaysia,malaysia_reference,data/raw/local_collection/stage_c_sprint_01/wikimedia_commons/no_overtaking/original/Malaysia_Traffic-signs_Regulatory-sign-09.jpg,data/raw/local_collection/stage_c_sprint_01/wikimedia_commons/no_overtaking/raster/Malaysia_Traffic-signs_Regulatory-sign-09.png,downloaded_candidate,pending_stage_d_visual_qc,Malaysia-specific no-overtaking reference graphic.
stage_c_sprint_01_commons_near_minimum_topup,S01-002,no_overtaking,File:Malaysia road sign RP17.svg,https://commons.wikimedia.org/wiki/File:Malaysia_road_sign_RP17.svg,https://upload.wikimedia.org/wikipedia/commons/7/70/Malaysia_road_sign_RP17.svg,https://upload.wikimedia.org/wikipedia/commons/thumb/7/70/Malaysia_road_sign_RP17.svg/960px-Malaysia_road_sign_RP17.svg.png,Public domain,,Public Works Department Malaysia,Manual on Traffic Control Devices,Malaysia,malaysia_reference,data/raw/local_collection/stage_c_sprint_01/wikimedia_commons/no_overtaking/original/Malaysia_road_sign_RP17.svg,data/raw/local_collection/stage_c_sprint_01/wikimedia_commons/no_overtaking/raster/Malaysia_road_sign_RP17.png,downloaded_candidate,pending_stage_d_visual_qc,Malaysia-specific no-overtaking SVG reference.
stage_c_sprint_01_commons_near_minimum_topup,S01-003,no_overtaking,File:Dilarang memotong.jpg,https://commons.wikimedia.org/wiki/File:Dilarang_memotong.jpg,https://upload.wikimedia.org/wikipedia/commons/0/0e/Dilarang_memotong.jpg,https://upload.wikimedia.org/wikipedia/commons/0/0e/Dilarang_memotong.jpg,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,Fiq Shafiq - Donated by the original author via Blog Jalan Raya Malaysia Facebook page,Blog Jalan Raya Malaysia Facebook page,Malaysia,malaysia_reference,data/raw/local_collection/stage_c_sprint_01/wikimedia_commons/no_overtaking/original/Dilarang_memotong.jpg,data/raw/local_collection/stage_c_sprint_01/wikimedia_commons/no_overtaking/raster/Dilarang_memotong.png,downloaded_excluded,rejected_codex_visual_qc_label_mismatch,"Downloaded for provenance, but visual QC shows this is heavy-vehicle no-overtaking, not generic no-overtaking."
stage_c_sprint_01_commons_near_minimum_topup,S01-004,no_overtaking,File:No overtaking.jpg,https://commons.wikimedia.org/wiki/File:No_overtaking.jpg,https://upload.wikimedia.org/wikipedia/commons/7/78/No_overtaking.jpg,https://upload.wikimedia.org/wikipedia/commons/7/78/No_overtaking.jpg,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,Fiq Shafiq,Donated by the original author via Blog Jalan Raya Malaysia Facebook page,International,supplemental_reference,data/raw/local_collection/stage_c_sprint_01/wikimedia_commons/no_overtaking/original/No_overtaking.jpg,data/raw/local_collection/stage_c_sprint_01/wikimedia_commons/no_overtaking/raster/No_overtaking.png,downloaded_candidate,pending_stage_d_visual_qc,Supplemental no-overtaking sign; needs Stage D approval before final training.
stage_c_sprint_01_commons_near_minimum_topup,S01-005,no_overtaking,File:No Overtaking.png,https://commons.wikimedia.org/wiki/File:No_Overtaking.png,https://upload.wikimedia.org/wikipedia/commons/d/db/No_Overtaking.png,https://upload.wikimedia.org/wikipedia/commons/d/db/No_Overtaking.png,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,FS88,Own work,International,supplemental_reference,data/raw/local_collection/stage_c_sprint_01/wikimedia_commons/no_overtaking/original/No_Overtaking.png,data/raw/local_collection/stage_c_sprint_01/wikimedia_commons/no_overtaking/raster/No_Overtaking.png,downloaded_candidate,pending_stage_d_visual_qc,Supplemental no-overtaking sign; needs Stage D approval before final training.
stage_c_sprint_01_commons_near_minimum_topup,S01-006,keep_right,File:Malaysia road sign RM4b.svg,https://commons.wikimedia.org/wiki/File:Malaysia_road_sign_RM4b.svg,https://upload.wikimedia.org/wikipedia/commons/4/46/Malaysia_road_sign_RM4b.svg,https://upload.wikimedia.org/wikipedia/commons/thumb/4/46/Malaysia_road_sign_RM4b.svg/960px-Malaysia_road_sign_RM4b.svg.png,Public domain,,Public Works Department Malaysia,Manual on Traffic Control Devices,Malaysia,malaysia_reference,data/raw/local_collection/stage_c_sprint_01/wikimedia_commons/keep_right/original/Malaysia_road_sign_RM4b.svg,data/raw/local_collection/stage_c_sprint_01/wikimedia_commons/keep_right/raster/Malaysia_road_sign_RM4b.png,downloaded_candidate,pending_stage_d_visual_qc,Malaysia-specific keep-right reference SVG.
stage_c_sprint_01_commons_near_minimum_topup,S01-007,keep_right,"File:B23 (Jalan Sungai Tua), Gombak 20250125 120556.jpg","https://commons.wikimedia.org/wiki/File:B23_(Jalan_Sungai_Tua),_Gombak_20250125_120556.jpg",https://upload.wikimedia.org/wikipedia/commons/e/e1/B23_%28Jalan_Sungai_Tua%29%2C_Gombak_20250125_120556.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e1/B23_%28Jalan_Sungai_Tua%29%2C_Gombak_20250125_120556.jpg/960px-B23_%28Jalan_Sungai_Tua%29%2C_Gombak_20250125_120556.jpg,CC0,http://creativecommons.org/publicdomain/zero/1.0/deed.en,Wiki Farazi,Own work,Malaysia,malaysia_real_photo,data/raw/local_collection/stage_c_sprint_01/wikimedia_commons/keep_right/original/B23_Jalan_Sungai_Tua_Gombak_20250125_120556.jpg,data/raw/local_collection/stage_c_sprint_01/wikimedia_commons/keep_right/raster/B23_Jalan_Sungai_Tua_Gombak_20250125_120556.png,downloaded_candidate,pending_stage_d_visual_qc,Real Malaysian road-scene photo; requires bounding-box annotation before detector use.
stage_c_sprint_01_commons_near_minimum_topup,S01-008,keep_right,"File:B23 (Jalan Sungai Tua), Gombak 20250125 120606.jpg","https://commons.wikimedia.org/wiki/File:B23_(Jalan_Sungai_Tua),_Gombak_20250125_120606.jpg",https://upload.wikimedia.org/wikipedia/commons/4/4b/B23_%28Jalan_Sungai_Tua%29%2C_Gombak_20250125_120606.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4b/B23_%28Jalan_Sungai_Tua%29%2C_Gombak_20250125_120606.jpg/960px-B23_%28Jalan_Sungai_Tua%29%2C_Gombak_20250125_120606.jpg,CC0,http://creativecommons.org/publicdomain/zero/1.0/deed.en,Wiki Farazi,Own work,Malaysia,malaysia_real_photo,data/raw/local_collection/stage_c_sprint_01/wikimedia_commons/keep_right/original/B23_Jalan_Sungai_Tua_Gombak_20250125_120606.jpg,data/raw/local_collection/stage_c_sprint_01/wikimedia_commons/keep_right/raster/B23_Jalan_Sungai_Tua_Gombak_20250125_120606.png,downloaded_candidate,pending_stage_d_visual_qc,Same-location real photo; keep in the same split group during dataset freeze.
stage_c_sprint_01_commons_near_minimum_topup,S01-009,keep_right,"File:Jalan Marang-Wakaf Tapai (Terengganu State Highway T2), Kampung Pengkalan Berangan 20240228 110630.jpg","https://commons.wikimedia.org/wiki/File:Jalan_Marang-Wakaf_Tapai_(Terengganu_State_Highway_T2),_Kampung_Pengkalan_Berangan_20240228_110630.jpg",,,,,,,Malaysia,malaysia_real_photo,,,"download_failed: HTTPError: 429 Client Error: Your request does not comply with our robot policy, https://w.wiki/4wJS. Please contact noc@wikimedia.org for further information (0fa5166) for url: https://upload.wikimedia.org/wikipedia/commons/e/e2/Jalan_Marang-Wakaf_Tapai_%28Terengganu_State_Highway_T2%29%2C_Kampung_Pengkalan_Berangan_20240228_110630.jpg",download_failed,Real Malaysian road-scene photo; requires bounding-box annotation before detector use.
stage_c_sprint_01_commons_near_minimum_topup,S01-010,no_heavy_vehicle,File:Lori dilarang.png,https://commons.wikimedia.org/wiki/File:Lori_dilarang.png,https://upload.wikimedia.org/wikipedia/commons/c/c6/Lori_dilarang.png,https://upload.wikimedia.org/wikipedia/commons/c/c6/Lori_dilarang.png,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,FS88,Own work,Malaysia,malaysia_reference,data/raw/local_collection/stage_c_sprint_01/wikimedia_commons/no_heavy_vehicle/original/Lori_dilarang.png,data/raw/local_collection/stage_c_sprint_01/wikimedia_commons/no_heavy_vehicle/raster/Lori_dilarang.png,downloaded_candidate,pending_stage_d_visual_qc,Malay no-lorry/no-heavy-vehicle reference graphic.
